Region,Date,Value,Cases,Cases.Cumulative,Deaths.Cumulative,
,#date,#affected+infected+value+num,,,,
Region 3,3/1/2020,0,0,0,0,
Region 3,3/2/2020,0,0,0,0,
Region 3,3/3/2020,0,0,0,0,
Region 3,3/4/2020,0,0,0,0,
Region 3,3/5/2020,0,0,0,0,
Region 3,3/6/2020,0,0,0,0,
Region 3,3/7/2020,0,0,0,0,
Region 3,3/8/2020,0,0,0,0,
Region 3,3/9/2020,0,0,0,0,
Region 3,3/10/2020,0,0,0,0,
Region 3,3/11/2020,0,0,0,0,
Region 3,3/12/2020,0,0,0,0,
Region 3,3/13/2020,0,0,0,0,
Region 3,3/14/2020,0,0,0,0,
Region 3,3/15/2020,0,0,0,0,
Region 3,3/16/2020,0,0,0,0,
Region 3,3/17/2020,0,0,0,0,
Region 3,3/18/2020,0,0,0,0,
Region 3,3/19/2020,0,0,0,0,
Region 3,3/20/2020,0,0,0,0,
Region 3,3/21/2020,0,0,0,0,
Region 3,3/22/2020,0,0,0,0,
Region 3,3/23/2020,0,0,0,0,
Region 3,3/24/2020,0,0,0,0,
Region 3,3/25/2020,0,0,0,0,
Region 3,3/26/2020,0,0,0,0,
Region 3,3/27/2020,0,0,0,0,
Region 3,3/28/2020,0,0,0,0,
Region 3,3/29/2020,0,0,0,0,
Region 3,3/30/2020,0,0,0,0,
Region 3,3/31/2020,0,0,0,0,
Region 3,4/1/2020,0,0,0,0,
Region 3,4/2/2020,0,0,0,0,
Region 3,4/3/2020,0,0,0,0,
Region 3,4/4/2020,0,0,0,0,
Region 3,4/5/2020,0,0,0,0,
Region 3,4/6/2020,0,0,0,0,
Region 3,4/7/2020,0,0,0,0,
Region 3,4/8/2020,0,1,1,0,
Region 3,4/9/2020,0,0,1,0,
Region 3,4/10/2020,0,0,1,0,
Region 3,4/11/2020,0,0,1,0,
Region 3,4/12/2020,0,0,1,0,
Region 3,4/13/2020,0,1,2,0,
Region 3,4/14/2020,0,0,2,0,
Region 3,4/15/2020,0,1,3,0,
Region 3,4/16/2020,0,0,3,0,
Region 3,4/17/2020,0,0,3,0,
Region 3,4/18/2020,0,1,4,0,
Region 3,4/19/2020,0,0,4,0,
Region 3,4/20/2020,0,0,4,0,
Region 3,4/21/2020,0,0,4,0,
Region 3,4/22/2020,0,0,4,0,
Region 3,4/23/2020,0,0,4,0,
Region 3,4/24/2020,0,0,4,0,
Region 3,4/25/2020,0,0,4,0,
Region 3,4/26/2020,0,0,4,0,
Region 3,4/27/2020,0,0,4,0,
Region 3,4/28/2020,1,0,4,1,
Region 3,4/29/2020,0,0,4,1,
Region 3,4/30/2020,0,0,4,1,
Region 3,5/1/2020,0,0,4,1,
Region 3,5/2/2020,0,0,4,1,
Region 3,5/3/2020,0,0,4,1,
Region 3,5/4/2020,0,0,4,1,
Region 3,5/5/2020,0,0,4,1,
Region 3,5/6/2020,0,1,5,1,
Region 3,5/7/2020,0,0,5,1,
Region 3,5/8/2020,0,0,5,1,
Region 3,5/9/2020,0,1,6,1,
Region 3,5/10/2020,0,0,6,1,
Region 3,5/11/2020,0,0,6,1,
Region 3,5/12/2020,0,0,6,1,
Region 3,5/13/2020,0,0,6,1,
Region 3,5/14/2020,0,1,7,1,
Region 3,5/15/2020,0,1,8,1,
Region 3,5/16/2020,0,0,8,1,
Region 3,5/17/2020,0,1,9,1,
Region 3,5/18/2020,0,2,11,1,
Region 3,5/19/2020,0,1,12,1,
Region 3,5/20/2020,0,1,13,1,
Region 3,5/21/2020,0,0,13,1,
Region 3,5/22/2020,0,2,15,1,
Region 3,5/23/2020,0,0,15,1,
Region 3,5/24/2020,0,1,16,1,
Region 3,5/25/2020,0,0,16,1,
Region 3,5/26/2020,0,1,17,1,
Region 3,5/27/2020,0,1,18,1,
Region 3,5/28/2020,0,0,18,1,
Region 3,5/29/2020,0,0,18,1,
Region 3,5/30/2020,0,0,18,1,
Region 3,5/31/2020,0,0,18,1,
Region 3,6/1/2020,0,0,18,1,
Region 3,6/2/2020,0,0,18,1,
Region 3,6/3/2020,0,0,18,1,
Region 3,6/4/2020,0,0,18,1,
Region 3,6/5/2020,0,0,18,1,
Region 3,6/6/2020,0,0,18,1,
Region 3,6/7/2020,0,0,18,1,
Region 3,6/8/2020,0,0,18,1,
Region 3,6/9/2020,0,0,18,1,
Region 3,6/10/2020,0,0,18,1,
Region 3,6/11/2020,0,0,18,1,
Region 3,6/12/2020,0,0,18,1,
Region 3,6/13/2020,0,0,18,1,
Region 3,6/14/2020,0,0,18,1,
Region 3,6/15/2020,0,0,18,1,
Region 3,6/16/2020,0,0,18,1,
Region 3,6/17/2020,0,1,19,1,
Region 3,6/18/2020,0,0,19,1,
Region 3,6/19/2020,0,1,20,1,
Region 3,6/20/2020,0,0,20,1,
Region 3,6/21/2020,0,0,20,1,
Region 3,6/22/2020,0,0,20,1,
Region 3,6/23/2020,0,0,20,1,
Region 3,6/24/2020,0,0,20,1,
Region 3,6/25/2020,0,0,20,1,
Region 3,6/26/2020,0,0,20,1,
Region 3,6/27/2020,0,1,21,1,
Region 3,6/28/2020,0,0,21,1,
Region 3,6/29/2020,0,0,21,1,
Region 3,6/30/2020,0,0,21,1,
Region 3,7/1/2020,0,0,21,1,
Region 3,7/2/2020,0,0,21,1,
Region 3,7/3/2020,0,1,22,1,
Region 3,7/4/2020,0,0,22,1,
Region 3,7/5/2020,0,1,23,1,
Region 3,7/6/2020,0,0,23,1,
Region 3,7/7/2020,0,0,23,1,
Region 3,7/8/2020,0,0,23,1,
Region 3,7/9/2020,0,1,24,1,
Region 3,7/10/2020,0,0,24,1,
Region 3,7/11/2020,0,0,24,1,
Region 3,7/12/2020,0,0,24,1,
Region 3,7/13/2020,0,1,25,1,
Region 3,7/14/2020,0,0,25,1,
Region 3,7/15/2020,0,0,25,1,
Region 3,7/16/2020,0,0,25,1,
Region 3,7/17/2020,0,0,25,1,
Region 3,7/18/2020,0,0,25,1,
Region 3,7/19/2020,0,0,25,1,
Region 3,7/20/2020,0,0,25,1,
Region 3,7/21/2020,0,0,25,1,
Region 3,7/22/2020,0,1,26,1,
Region 3,7/23/2020,0,0,26,1,
Region 3,7/24/2020,0,0,26,1,
Region 3,7/25/2020,0,0,26,1,
Region 3,7/26/2020,0,0,26,1,
Region 3,7/27/2020,0,0,26,1,
Region 3,7/28/2020,0,0,26,1,
Region 3,7/29/2020,0,0,26,1,
Region 3,7/30/2020,0,1,27,1,
Region 3,7/31/2020,0,0,27,1,
Region 3,8/1/2020,0,0,27,1,
Region 3,8/2/2020,0,0,27,1,
Region 3,8/3/2020,0,0,27,1,
Region 3,8/4/2020,0,0,27,1,
Region 3,8/5/2020,0,0,27,1,
Region 3,8/6/2020,0,1,28,1,
Region 3,8/7/2020,0,0,28,1,
Region 3,8/8/2020,0,0,28,1,
Region 3,8/9/2020,0,0,28,1,
Region 3,8/10/2020,0,0,28,1,
Region 3,8/11/2020,0,0,28,1,
Region 3,8/12/2020,0,0,28,1,
Region 3,8/13/2020,0,0,28,1,
Region 3,8/14/2020,0,0,28,1,
Region 3,8/15/2020,1,0,28,2,
Region 3,8/16/2020,0,0,28,2,
Region 3,8/17/2020,0,0,28,2,
Region 3,8/18/2020,0,0,28,2,
Region 3,8/19/2020,0,0,28,2,
Region 3,8/20/2020,0,0,28,2,
Region 3,8/21/2020,0,1,29,2,
Region 3,8/22/2020,0,0,29,2,
Region 3,8/23/2020,0,0,29,2,
Region 3,8/24/2020,0,0,29,2,
Region 3,8/25/2020,0,2,31,2,
Region 3,8/26/2020,0,0,31,2,
Region 3,8/27/2020,0,0,31,2,
Region 3,8/28/2020,0,0,31,2,
Region 3,8/29/2020,0,0,31,2,
Region 3,8/30/2020,0,0,31,2,
Region 3,8/31/2020,0,1,32,2,
Region 3,9/1/2020,0,0,32,2,
Region 3,9/2/2020,0,0,32,2,
Region 3,9/3/2020,0,0,32,2,
Region 3,9/4/2020,0,0,32,2,
Region 3,9/5/2020,0,1,33,2,
Region 3,9/6/2020,0,0,33,2,
Region 3,9/7/2020,0,0,33,2,
Region 3,9/8/2020,0,1,34,2,
Region 3,9/9/2020,0,0,34,2,
Region 3,9/10/2020,0,0,34,2,
Region 3,9/11/2020,0,0,34,2,
Region 3,9/12/2020,0,0,34,2,
Region 3,9/13/2020,0,1,35,2,
Region 3,9/14/2020,0,0,35,2,
Region 3,9/15/2020,0,0,35,2,
Region 3,9/16/2020,0,0,35,2,
Region 3,9/17/2020,0,0,35,2,
Region 3,9/18/2020,0,0,35,2,
Region 3,9/19/2020,0,0,35,2,
Region 3,9/20/2020,0,0,35,2,
Region 3,9/21/2020,0,1,36,2,
Region 3,9/22/2020,0,0,36,2,
Region 3,9/23/2020,0,1,37,2,
Region 3,9/24/2020,0,1,38,2,
Region 3,9/25/2020,0,0,38,2,
Region 3,9/26/2020,0,0,38,2,
Region 3,9/27/2020,0,0,38,2,
Region 3,9/28/2020,0,1,39,2,
Region 3,9/29/2020,0,0,39,2,
Region 3,9/30/2020,0,0,39,2,
Region 3,10/1/2020,0,1,40,2,
Region 3,10/2/2020,0,0,40,2,
Region 3,10/3/2020,0,0,40,2,
Region 3,10/4/2020,0,0,40,2,
Region 3,10/5/2020,0,0,40,2,
Region 3,10/6/2020,0,0,40,2,
Region 3,10/7/2020,0,0,40,2,
Region 3,10/8/2020,0,1,41,2,
Region 3,10/9/2020,0,1,42,2,
Region 3,10/10/2020,0,0,42,2,
