state,date,cumulative fatalities ,deaths,fips,cases
Michigan,3/10/2020,0,0,26,2
Michigan,3/11/2020,0,0,26,2
Michigan,3/12/2020,0,0,26,12
Michigan,3/13/2020,0,0,26,25
Michigan,3/14/2020,0,0,26,33
Michigan,3/15/2020,0,0,26,53
Michigan,3/16/2020,0,0,26,54
Michigan,3/17/2020,0,0,26,65
Michigan,3/18/2020,1,1,26,80
Michigan,3/19/2020,3,2,26,334
Michigan,3/20/2020,4,1,26,548
Michigan,3/21/2020,6,2,26,787
Michigan,3/22/2020,9,3,26,1033
Michigan,3/23/2020,16,7,26,1324
Michigan,3/24/2020,24,8,26,1791
Michigan,3/25/2020,43,19,26,2293
Michigan,3/26/2020,63,20,26,2877
Michigan,3/27/2020,93,30,26,3655
Michigan,3/28/2020,112,19,26,4634
Michigan,3/29/2020,132,20,26,5486
Michigan,3/30/2020,197,65,26,6508
Michigan,3/31/2020,264,67,26,7629
Michigan,4/1/2020,336,72,26,9292
Michigan,4/2/2020,417,81,26,10791
Michigan,4/3/2020,478,61,26,12669
Michigan,4/4/2020,541,63,26,14225
Michigan,4/5/2020,617,76,26,15633
Michigan,4/6/2020,727,110,26,17129
Michigan,4/7/2020,845,118,26,18851
Michigan,4/8/2020,959,114,26,20220
Michigan,4/9/2020,1076,117,26,21375
Michigan,4/10/2020,1280,204,26,22646
Michigan,4/11/2020,1395,115,26,23855
Michigan,4/12/2020,1488,93,26,24496
Michigan,4/13/2020,1603,115,26,25490
Michigan,4/14/2020,1767,164,26,26845
Michigan,4/15/2020,1920,153,26,27894
Michigan,4/16/2020,2092,172,26,29120
Michigan,4/17/2020,2227,135,26,29954
Michigan,4/18/2020,2307,80,26,30718
Michigan,4/19/2020,2389,82,26,31349
Michigan,4/20/2020,2466,77,26,31929
Michigan,4/21/2020,2698,232,26,32936
Michigan,4/22/2020,2813,115,26,33973
Michigan,4/23/2020,2977,164,26,35253
Michigan,4/24/2020,3084,107,26,36628
Michigan,4/25/2020,3273,189,26,37302
Michigan,4/26/2020,3314,41,26,38003
Michigan,4/27/2020,3406,92,26,38457
Michigan,4/28/2020,3566,160,26,39469
Michigan,4/29/2020,3670,104,26,40443
Michigan,4/30/2020,3788,118,26,41348
Michigan,5/1/2020,3866,78,26,42348
Michigan,5/2/2020,4020,154,26,43191
Michigan,5/3/2020,4049,29,26,43803
Michigan,5/4/2020,4135,86,26,43996
Michigan,5/5/2020,4179,44,26,44391
Michigan,5/6/2020,4250,71,26,45079
Michigan,5/7/2020,4343,93,26,45643
Michigan,5/8/2020,4393,50,26,46319
Michigan,5/9/2020,4526,133,26,46735
Michigan,5/10/2020,4551,25,26,47116
Michigan,5/11/2020,4584,33,26,47526
Michigan,5/12/2020,4674,90,26,47946
Michigan,5/13/2020,4714,40,26,48307
Michigan,5/14/2020,4787,73,26,49489
Michigan,5/15/2020,4825,38,26,49982
Michigan,5/16/2020,4880,55,26,50416
Michigan,5/17/2020,4891,11,26,51054
Michigan,5/18/2020,4915,24,26,51853
Michigan,5/19/2020,5017,102,26,52337
Michigan,5/20/2020,5060,43,26,52988
Michigan,5/21/2020,5129,69,26,53468
Michigan,5/22/2020,5158,29,26,53865
Michigan,5/23/2020,5223,65,26,54304
Michigan,5/24/2020,5228,5,26,54616
Michigan,5/25/2020,5240,12,26,54816
Michigan,5/26/2020,5266,26,26,55040
Michigan,5/27/2020,5334,68,26,55544
Michigan,5/28/2020,5372,38,26,55944
Michigan,5/29/2020,5406,34,26,56589
Michigan,5/30/2020,5463,57,26,56848
Michigan,5/31/2020,5491,28,26,57355
Michigan,6/1/2020,5525,34,26,58435
Michigan,6/2/2020,5562,37,26,58680
Michigan,6/3/2020,5579,17,26,58990
Michigan,6/4/2020,5604,25,26,59215
Michigan,6/5/2020,5854,250,26,63744
Michigan,6/6/2020,5894,40,26,64196
Michigan,6/7/2020,5898,4,26,64615
Michigan,6/8/2020,5916,18,26,64911
Michigan,6/9/2020,5946,30,26,65190
Michigan,6/10/2020,5958,12,26,65377
Michigan,6/11/2020,5985,27,26,65627
Michigan,6/12/2020,5994,9,26,65881
Michigan,6/13/2020,6017,23,26,66024
Michigan,6/14/2020,6020,3,26,66246
Michigan,6/15/2020,6025,5,26,66302
Michigan,6/16/2020,6039,14,26,66466
Michigan,6/17/2020,6041,2,26,66694
Michigan,6/18/2020,6064,23,26,66980
Michigan,6/19/2020,6071,7,26,67300
Michigan,6/20/2020,6091,20,26,67721
Michigan,6/21/2020,6094,3,26,67873
Michigan,6/22/2020,6101,7,26,68144
Michigan,6/23/2020,6113,12,26,68373
Michigan,6/24/2020,6118,5,26,68711
Michigan,6/25/2020,6137,19,26,69159
Michigan,6/26/2020,6138,1,26,69473
Michigan,6/27/2020,6157,19,26,69802
Michigan,6/28/2020,6161,4,26,70042
Michigan,6/29/2020,6165,4,26,70356
Michigan,6/30/2020,6197,32,26,70850
Michigan,7/1/2020,6202,5,26,71279
Michigan,7/2/2020,6216,14,26,71853
Michigan,7/3/2020,6219,3,26,72306
Michigan,7/4/2020,6222,3,26,72702
Michigan,7/5/2020,6222,0,26,73027
Michigan,7/6/2020,6225,3,26,73403
Michigan,7/7/2020,6256,31,26,74011
Michigan,7/8/2020,6266,10,26,74660
Michigan,7/9/2020,6275,9,26,75247
Michigan,7/10/2020,6288,13,26,75871
Michigan,7/11/2020,6316,28,26,76499
Michigan,7/12/2020,6317,1,26,76936
Michigan,7/13/2020,6324,7,26,77354
Michigan,7/14/2020,6330,6,26,78045
Michigan,7/15/2020,6333,3,26,79081
Michigan,7/16/2020,6351,18,26,79977
Michigan,7/17/2020,6358,7,26,80752
Michigan,7/18/2020,6367,9,26,81384
Michigan,7/19/2020,6369,2,26,81935
Michigan,7/20/2020,6377,8,26,82486
